N° EQUIPOS;N° DE CAJA;SERIAL CAJA;SERIAL;MEMORIA RAM;PROCESADOR;DISCO DURO;LUGAR DE ENTREGA
1;3;37141;PG2021022663;4GB;Intel Celeron n4020;500GB HDD;Colegio Delicias
2;3;37141;PG2021022666;4GB;Intel Celeron n4021;500GB HDD;Colegio Delicias
3;3;37141;PG2021020282;4GB;Intel Celeron n4022;500GB HDD;Colegio Delicias
4;3;37141;PG2021022471;4GB;Intel Celeron n4023;500GB HDD;Colegio Delicias
5;3;37141;PG2021006694;4GB;Intel Celeron n4024;500GB HDD;Colegio Delicias
6;4;37142;PG2021021865;4GB;Intel Celeron n4025;500GB HDD;Colegio Delicias
7;4;37142;PG2021023934;4GB;Intel Celeron n4026;500GB HDD;Colegio Delicias
8;4;37142;PG2021020446;4GB;Intel Celeron n4027;500GB HDD;Colegio Delicias
9;4;37142;PG2021006594;4GB;Intel Celeron n4028;500GB HDD;Colegio Delicias
10;4;37142;PG2021019803;4GB;Intel Celeron n4029;500GB HDD;Colegio Delicias
11;5;37148;PG2021020052;4GB;Intel Celeron n4030;500GB HDD;Colegio Delicias
12;5;37148;PG2021020230;4GB;Intel Celeron n4031;500GB HDD;Colegio Delicias
13;5;37148;PG2021022443;4GB;Intel Celeron n4032;500GB HDD;Colegio Delicias
14;5;37148;PG2021020228;4GB;Intel Celeron n4033;500GB HDD;Colegio Delicias
15;5;37148;PG2021022470;4GB;Intel Celeron n4034;500GB HDD;Colegio Delicias
16;6;37147;PG2021020248;4GB;Intel Celeron n4035;500GB HDD;Colegio Delicias
17;6;37147;PG2021020455;4GB;Intel Celeron n4036;500GB HDD;Colegio Delicias
18;6;37147;PG2021019456;4GB;Intel Celeron n4037;500GB HDD;Colegio Delicias
19;6;37147;PG2021006481;4GB;Intel Celeron n4038;500GB HDD;Colegio Delicias
20;6;37147;PG2021020548;4GB;Intel Celeron n4039;500GB HDD;Colegio Delicias
21;7;37136;PG2021020281;4GB;Intel Celeron n4040;500GB HDD;Colegio Delicias
22;7;37136;PG2021021675;4GB;Intel Celeron n4041;500GB HDD;Colegio Delicias
23;7;37136;PG2021020188;4GB;Intel Celeron n4042;500GB HDD;Colegio Delicias
24;7;37136;PG2021019297;4GB;Intel Celeron n4043;500GB HDD;Colegio Delicias
25;7;37136;PG2021020259;4GB;Intel Celeron n4044;500GB HDD;Colegio Delicias
26;8;37135;PG2021020051;4GB;Intel Celeron n4045;500GB HDD;Colegio Delicias
27;8;37135;PG2021005300;4GB;Intel Celeron n4046;500GB HDD;Colegio Delicias
28;8;37135;PG2021030521;4GB;Intel Celeron n4047;500GB HDD;Colegio Delicias
29;8;37135;PG2021013873;4GB;Intel Celeron n4048;500GB HDD;Colegio Delicias
30;8;37135;PG2021022297;4GB;Intel Celeron n4049;500GB HDD;Colegio Delicias
31;9;37139;PG2021030522;4GB;Intel Celeron n4050;500GB HDD;Colegio Delicias
32;9;37139;PG2021030484;4GB;Intel Celeron n4051;500GB HDD;Colegio Delicias
33;9;37139;PG2021020232;4GB;Intel Celeron n4052;500GB HDD;Colegio Delicias
34;9;37139;PG2021020495;4GB;Intel Celeron n4053;500GB HDD;Falta por entregar
35;9;37139;PG2021030416;4GB;Intel Celeron n4054;500GB HDD;Falta por entregar
36;10;37140;PG2021022785;4GB;Intel Celeron n4055;500GB HDD;Falta por entregar
37;10;37140;PG2021022722;4GB;Intel Celeron n4056;500GB HDD;Falta por entregar
38;10;37140;PG2021019575;4GB;Intel Celeron n4057;500GB HDD;Falta por entregar
39;10;37140;PG2021022120;4GB;Intel Celeron n4058;500GB HDD;Falta por entregar
40;10;37140;PG2021021827;4GB;Intel Celeron n4059;500GB HDD;Falta por entregar
41;11;37149;PG2021020200;4GB;Intel Celeron n4060;500GB HDD;Falta por entregar
42;11;37149;PG2021022147;4GB;Intel Celeron n4061;500GB HDD;Falta por entregar
43;11;37149;PG2021022274;4GB;Intel Celeron n4062;500GB HDD;Falta por entregar
44;11;37149;PG2021020260;4GB;Intel Celeron n4063;500GB HDD;Falta por entregar
45;11;37149;PG2021020196;4GB;Intel Celeron n4064;500GB HDD;Falta por entregar
46;12;3715;PG2021006583;4GB;Intel Celeron n4065;500GB HDD;Falta por entregar
47;12;3715;PG2021003518;4GB;Intel Celeron n4066;500GB HDD;Falta por entregar
48;12;3715;PG2021022465;4GB;Intel Celeron n4067;500GB HDD;Falta por entregar
49;12;3715;PG2021015769;4GB;Intel Celeron n4068;500GB HDD;Falta por entregar
50;12;3715;PG2021020223;4GB;Intel Celeron n4069;500GB HDD;Falta por entregar
51;13;37134;PG2021021393;4GB;Intel Celeron n4070;500GB HDD;Falta por entregar
52;13;37134;PG2021013883;4GB;Intel Celeron n4071;500GB HDD;Falta por entregar
53;13;37134;PG2021030537;4GB;Intel Celeron n4072;500GB HDD;Falta por entregar
54;13;37134;PG2021020233;4GB;Intel Celeron n4073;500GB HDD;Falta por entregar
55;13;37134;PG2021020243;4GB;Intel Celeron n4074;500GB HDD;Falta por entregar
56;14;37133;PG2021020212;4GB;Intel Celeron n4075;500GB HDD;Falta por entregar
57;14;37133;PG2021020190;4GB;Intel Celeron n4076;500GB HDD;Falta por entregar
58;14;37133;PG2021020456;4GB;Intel Celeron n4077;500GB HDD;Falta por entregar
59;14;37133;PG2021020270;4GB;Intel Celeron n4078;500GB HDD;Falta por entregar
60;14;37133;PG2021022115;4GB;Intel Celeron n4079;500GB HDD;Falta por entregar
61;15;37137;PG2021022986;4GB;Intel Celeron n4080;500GB HDD;Falta por entregar
62;15;37137;PG2021020028;4GB;Intel Celeron n4081;500GB HDD;Falta por entregar
63;15;37137;PG2021030404;4GB;Intel Celeron n4082;500GB HDD;Falta por entregar
64;15;37137;PG2021023002;4GB;Intel Celeron n4083;500GB HDD;Falta por entregar
65;15;37137;PG2021019773;4GB;Intel Celeron n4084;500GB HDD;Falta por entregar
66;16;37138;PG2021019826;4GB;Intel Celeron n4085;500GB HDD;Falta por entregar
67;16;37138;PG2021019511;4GB;Intel Celeron n4086;500GB HDD;Falta por entregar
68;16;37138;PG2021030436;4GB;Intel Celeron n4087;500GB HDD;Falta por entregar
69;16;37138;PG2021019295;4GB;Intel Celeron n4088;500GB HDD;Falta por entregar
70;16;37138;PG2021019636;4GB;Intel Celeron n4089;500GB HDD;Falta por entregar
71;17;37152;PG2021015736;4GB;Intel Celeron n4090;500GB HDD;Falta por entregar
72;17;37152;PG2021015726;4GB;Intel Celeron n4091;500GB HDD;Falta por entregar
73;17;37152;PG2021020258;4GB;Intel Celeron n4092;500GB HDD;Falta por entregar
74;17;37152;PG2021015767;4GB;Intel Celeron n4093;500GB HDD;Falta por entregar
75;17;37152;PG2021018798;4GB;Intel Celeron n4094;500GB HDD;Falta por entregar
76;18;37151;PG2021015410;4GB;Intel Celeron n4095;500GB HDD;Falta por entregar
77;18;37151;PG2021005295;4GB;Intel Celeron n4096;500GB HDD;Falta por entregar
78;18;37151;PG2021020253;4GB;Intel Celeron n4097;500GB HDD;Falta por entregar
79;18;37151;PG2021020039;4GB;Intel Celeron n4098;500GB HDD;Falta por entregar
80;18;37151;PG2021006069;4GB;Intel Celeron n4099;500GB HDD;Falta por entregar
,,,PG2021,,,,;;;;;;;
